,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.03486737502095491,0.8480512878910197,0.8290209750481475,0.819798215183168,0.8312893534921681,0.888483068097413,0.9113085421752806,0.5931801938277299,0.8637873748965529,0.8825264207608186,0.8313331071007913,0.8569195015530694
FCN,0.03486737502095491,1.0,0.03348992588238117,0.12736243625292754,0.3468165218143183,0.2646280996195563,0.2635668399877067,0.1696039752399033,0.5171279376455405,0.20635606193298528,0.25182579231352065,0.33066314213450293,0.2852943465286315
BCN,0.8480512878910197,0.03348992588238117,1.0,0.8808957765828862,0.7741541602370384,0.860702111484607,0.859794111608041,0.8614190796015059,0.5772118308495546,0.8383131343230853,0.8169506669534186,0.8045624432563327,0.8203675328443686
GRS,0.8290209750481475,0.12736243625292754,0.8808957765828862,1.0,0.821551680313128,0.8782361575084142,0.867265807954008,0.8745296362214802,0.642675777626661,0.8922662129591085,0.85334318676666,0.850315812767766,0.8761280230761155
ZCL,0.819798215183168,0.3468165218143183,0.7741541602370384,0.821551680313128,1.0,0.882542731499103,0.9323697482067751,0.9153279045793679,0.7750891657446257,0.9126568042048436,0.9235655114151227,0.9232925616841735,0.9075815223270665
UBQ,0.8312893534921681,0.2646280996195563,0.860702111484607,0.8782361575084142,0.882542731499103,1.0,0.9374398344538666,0.9224276738859651,0.7715768051176268,0.9297944905340216,0.9329856104472274,0.8938702305940905,0.9202741126220643
EXP,0.888483068097413,0.2635668399877067,0.859794111608041,0.867265807954008,0.9323697482067751,0.9374398344538666,1.0,0.9578145128447947,0.7789124739472423,0.9403453014978899,0.9704097153527639,0.9359997925895264,0.9481824867365752
ETC,0.9113085421752806,0.1696039752399033,0.8614190796015059,0.8745296362214802,0.9153279045793679,0.9224276738859651,0.9578145128447947,1.0,0.6992439555938207,0.9408481623665483,0.9665396521069353,0.9226568270930796,0.9369151825614185
XMR,0.5931801938277299,0.5171279376455405,0.5772118308495546,0.642675777626661,0.7750891657446257,0.7715768051176268,0.7789124739472423,0.6992439555938207,1.0,0.7428547215013398,0.7603451081949908,0.7748157739206168,0.7485271019358762
BTX,0.8637873748965529,0.20635606193298528,0.8383131343230853,0.8922662129591085,0.9126568042048436,0.9297944905340216,0.9403453014978899,0.9408481623665483,0.7428547215013398,1.0,0.95015741724579,0.9237757568876959,0.9333467077855179
ETH,0.8825264207608186,0.25182579231352065,0.8169506669534186,0.85334318676666,0.9235655114151227,0.9329856104472274,0.9704097153527639,0.9665396521069353,0.7603451081949908,0.95015741724579,1.0,0.926040006439394,0.9479273787586627
BTG,0.8313331071007913,0.33066314213450293,0.8045624432563327,0.850315812767766,0.9232925616841735,0.8938702305940905,0.9359997925895264,0.9226568270930796,0.7748157739206168,0.9237757568876959,0.926040006439394,1.0,0.9238027414729394
ZEC,0.8569195015530694,0.2852943465286315,0.8203675328443686,0.8761280230761155,0.9075815223270665,0.9202741126220643,0.9481824867365752,0.9369151825614185,0.7485271019358762,0.9333467077855179,0.9479273787586627,0.9238027414729394,1.0
