,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.034867375020954834,0.8480512878910188,0.8290209750481483,0.8197982151831672,0.8312893534921673,0.8884830680974132,0.9113085421752798,0.5931801938277291,0.8637873748965537,0.8825264207608186,0.8313331071007911,0.8569195015530696
FCN,0.034867375020954834,1.0,0.03348992588238107,0.12736243625292734,0.34681652181431866,0.26462809961955625,0.2635668399877064,0.16960397523990323,0.51712793764554,0.20635606193298517,0.2518257923135203,0.3306631421345024,0.2852943465286316
BCN,0.8480512878910188,0.03348992588238107,1.0,0.8808957765828866,0.7741541602370381,0.8607021114846067,0.8597941116080404,0.861419079601505,0.5772118308495546,0.838313134323085,0.8169506669534188,0.8045624432563317,0.8203675328443686
GRS,0.8290209750481483,0.12736243625292734,0.8808957765828866,1.0,0.8215516803131284,0.8782361575084149,0.8672658079540077,0.8745296362214807,0.6426757776266617,0.8922662129591097,0.8533431867666611,0.8503158127677662,0.8761280230761163
ZCL,0.8197982151831672,0.34681652181431866,0.7741541602370381,0.8215516803131284,1.0,0.8825427314991019,0.9323697482067751,0.9153279045793682,0.7750891657446258,0.9126568042048427,0.9235655114151223,0.9232925616841736,0.9075815223270669
UBQ,0.8312893534921673,0.26462809961955625,0.8607021114846067,0.8782361575084149,0.8825427314991019,1.0,0.9374398344538656,0.9224276738859644,0.7715768051176269,0.9297944905340223,0.9329856104472277,0.8938702305940908,0.9202741126220647
EXP,0.8884830680974132,0.2635668399877064,0.8597941116080404,0.8672658079540077,0.9323697482067751,0.9374398344538656,1.0,0.9578145128447941,0.7789124739472426,0.9403453014978882,0.9704097153527641,0.9359997925895264,0.9481824867365755
ETC,0.9113085421752798,0.16960397523990323,0.861419079601505,0.8745296362214807,0.9153279045793682,0.9224276738859644,0.9578145128447941,1.0,0.6992439555938202,0.9408481623665484,0.9665396521069352,0.9226568270930783,0.9369151825614177
XMR,0.5931801938277291,0.51712793764554,0.5772118308495546,0.6426757776266617,0.7750891657446258,0.7715768051176269,0.7789124739472426,0.6992439555938202,1.0,0.742854721501338,0.7603451081949901,0.7748157739206156,0.7485271019358759
BTX,0.8637873748965537,0.20635606193298517,0.838313134323085,0.8922662129591097,0.9126568042048427,0.9297944905340223,0.9403453014978882,0.9408481623665484,0.742854721501338,1.0,0.9501574172457902,0.9237757568876956,0.933346707785518
ETH,0.8825264207608186,0.2518257923135203,0.8169506669534188,0.8533431867666611,0.9235655114151223,0.9329856104472277,0.9704097153527641,0.9665396521069352,0.7603451081949901,0.9501574172457902,1.0,0.9260400064393934,0.9479273787586624
BTG,0.8313331071007911,0.3306631421345024,0.8045624432563317,0.8503158127677662,0.9232925616841736,0.8938702305940908,0.9359997925895264,0.9226568270930783,0.7748157739206156,0.9237757568876956,0.9260400064393934,1.0,0.9238027414729397
ZEC,0.8569195015530696,0.2852943465286316,0.8203675328443686,0.8761280230761163,0.9075815223270669,0.9202741126220647,0.9481824867365755,0.9369151825614177,0.7485271019358759,0.933346707785518,0.9479273787586624,0.9238027414729397,1.0
