,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.0348673750209549,0.8480512878910196,0.8290209750481484,0.819798215183168,0.8312893534921678,0.8884830680974142,0.9113085421752813,0.5931801938277292,0.8637873748965532,0.8825264207608186,0.8313331071007913,0.8569195015530706
FCN,0.0348673750209549,1.0,0.033489925882381,0.12736243625292748,0.34681652181431893,0.2646280996195561,0.26356683998770664,0.16960397523990317,0.5171279376455403,0.20635606193298525,0.2518257923135204,0.3306631421345025,0.28529434652863134
BCN,0.8480512878910196,0.033489925882381,1.0,0.8808957765828868,0.7741541602370382,0.8607021114846071,0.8597941116080414,0.8614190796015051,0.5772118308495549,0.8383131343230851,0.8169506669534181,0.804562443256332,0.8203675328443688
GRS,0.8290209750481484,0.12736243625292748,0.8808957765828868,1.0,0.8215516803131285,0.878236157508415,0.8672658079540084,0.8745296362214808,0.6426757776266612,0.8922662129591098,0.85334318676666,0.8503158127677656,0.8761280230761168
ZCL,0.819798215183168,0.34681652181431893,0.7741541602370382,0.8215516803131285,1.0,0.8825427314991023,0.9323697482067745,0.9153279045793683,0.7750891657446249,0.9126568042048432,0.9235655114151221,0.9232925616841724,0.9075815223270678
UBQ,0.8312893534921678,0.2646280996195561,0.8607021114846071,0.878236157508415,0.8825427314991023,1.0,0.9374398344538656,0.9224276738859644,0.7715768051176266,0.9297944905340213,0.9329856104472268,0.8938702305940902,0.9202741126220647
EXP,0.8884830680974142,0.26356683998770664,0.8597941116080414,0.8672658079540084,0.9323697482067745,0.9374398344538656,1.0,0.9578145128447942,0.7789124739472418,0.9403453014978892,0.9704097153527642,0.9359997925895267,0.9481824867365759
ETC,0.9113085421752813,0.16960397523990317,0.8614190796015051,0.8745296362214808,0.9153279045793683,0.9224276738859644,0.9578145128447942,1.0,0.6992439555938199,0.9408481623665481,0.9665396521069348,0.9226568270930781,0.9369151825614185
XMR,0.5931801938277292,0.5171279376455403,0.5772118308495549,0.6426757776266612,0.7750891657446249,0.7715768051176266,0.7789124739472418,0.6992439555938199,1.0,0.742854721501339,0.7603451081949901,0.774815773920615,0.7485271019358763
BTX,0.8637873748965532,0.20635606193298525,0.8383131343230851,0.8922662129591098,0.9126568042048432,0.9297944905340213,0.9403453014978892,0.9408481623665481,0.742854721501339,1.0,0.9501574172457901,0.923775756887696,0.9333467077855181
ETH,0.8825264207608186,0.2518257923135204,0.8169506669534181,0.85334318676666,0.9235655114151221,0.9329856104472268,0.9704097153527642,0.9665396521069348,0.7603451081949901,0.9501574172457901,1.0,0.9260400064393925,0.9479273787586621
BTG,0.8313331071007913,0.3306631421345025,0.804562443256332,0.8503158127677656,0.9232925616841724,0.8938702305940902,0.9359997925895267,0.9226568270930781,0.774815773920615,0.923775756887696,0.9260400064393925,1.0,0.9238027414729395
ZEC,0.8569195015530706,0.28529434652863134,0.8203675328443688,0.8761280230761168,0.9075815223270678,0.9202741126220647,0.9481824867365759,0.9369151825614185,0.7485271019358763,0.9333467077855181,0.9479273787586621,0.9238027414729395,1.0
