,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.034867375020953696,0.8480512878910195,0.8290209750481473,0.8197982151831673,0.8312893534921686,0.8884830680974131,0.9113085421752808,0.5931801938277294,0.8637873748965531,0.8825264207608191,0.8313331071007908,0.8569195015530703
FCN,0.034867375020953696,1.0,0.033489925882380644,0.1273624362529263,0.34681652181431805,0.2646280996195557,0.2635668399877059,0.16960397523990248,0.5171279376455398,0.20635606193298459,0.2518257923135197,0.33066314213450176,0.28529434652863084
BCN,0.8480512878910195,0.033489925882380644,1.0,0.8808957765828861,0.7741541602370385,0.8607021114846066,0.859794111608041,0.8614190796015062,0.5772118308495543,0.8383131343230843,0.8169506669534188,0.8045624432563322,0.8203675328443683
GRS,0.8290209750481473,0.1273624362529263,0.8808957765828861,1.0,0.821551680313128,0.8782361575084137,0.8672658079540081,0.8745296362214807,0.6426757776266608,0.8922662129591087,0.8533431867666607,0.8503158127677654,0.8761280230761164
ZCL,0.8197982151831673,0.34681652181431805,0.7741541602370385,0.821551680313128,1.0,0.8825427314991027,0.9323697482067752,0.9153279045793681,0.7750891657446258,0.9126568042048432,0.9235655114151228,0.9232925616841732,0.9075815223270673
UBQ,0.8312893534921686,0.2646280996195557,0.8607021114846066,0.8782361575084137,0.8825427314991027,1.0,0.9374398344538658,0.9224276738859639,0.7715768051176265,0.9297944905340213,0.9329856104472268,0.8938702305940908,0.9202741126220652
EXP,0.8884830680974131,0.2635668399877059,0.859794111608041,0.8672658079540081,0.9323697482067752,0.9374398344538658,1.0,0.9578145128447951,0.7789124739472432,0.9403453014978889,0.9704097153527641,0.9359997925895265,0.9481824867365757
ETC,0.9113085421752808,0.16960397523990248,0.8614190796015062,0.8745296362214807,0.9153279045793681,0.9224276738859639,0.9578145128447951,1.0,0.6992439555938207,0.9408481623665482,0.9665396521069348,0.9226568270930783,0.9369151825614185
XMR,0.5931801938277294,0.5171279376455398,0.5772118308495543,0.6426757776266608,0.7750891657446258,0.7715768051176265,0.7789124739472432,0.6992439555938207,1.0,0.7428547215013382,0.7603451081949906,0.7748157739206165,0.7485271019358759
BTX,0.8637873748965531,0.20635606193298459,0.8383131343230843,0.8922662129591087,0.9126568042048432,0.9297944905340213,0.9403453014978889,0.9408481623665482,0.7428547215013382,1.0,0.9501574172457896,0.9237757568876949,0.9333467077855178
ETH,0.8825264207608191,0.2518257923135197,0.8169506669534188,0.8533431867666607,0.9235655114151228,0.9329856104472268,0.9704097153527641,0.9665396521069348,0.7603451081949906,0.9501574172457896,1.0,0.9260400064393932,0.9479273787586621
BTG,0.8313331071007908,0.33066314213450176,0.8045624432563322,0.8503158127677654,0.9232925616841732,0.8938702305940908,0.9359997925895265,0.9226568270930783,0.7748157739206165,0.9237757568876949,0.9260400064393932,1.0,0.9238027414729393
ZEC,0.8569195015530703,0.28529434652863084,0.8203675328443683,0.8761280230761164,0.9075815223270673,0.9202741126220652,0.9481824867365757,0.9369151825614185,0.7485271019358759,0.9333467077855178,0.9479273787586621,0.9238027414729393,1.0
