,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.034867375020954716,0.8480512878910198,0.8290209750481486,0.8197982151831681,0.8312893534921685,0.8884830680974134,0.9113085421752809,0.5931801938277299,0.8637873748965533,0.8825264207608187,0.8313331071007909,0.8569195015530694
FCN,0.034867375020954716,1.0,0.033489925882381054,0.1273624362529274,0.34681652181431893,0.2646280996195562,0.26356683998770647,0.1696039752399032,0.5171279376455409,0.20635606193298528,0.2518257923135204,0.33066314213450276,0.2852943465286313
BCN,0.8480512878910198,0.033489925882381054,1.0,0.8808957765828874,0.7741541602370388,0.860702111484607,0.8597941116080421,0.861419079601506,0.5772118308495546,0.8383131343230856,0.8169506669534193,0.8045624432563315,0.8203675328443685
GRS,0.8290209750481486,0.1273624362529274,0.8808957765828874,1.0,0.821551680313129,0.8782361575084154,0.8672658079540083,0.8745296362214812,0.6426757776266613,0.8922662129591098,0.8533431867666609,0.8503158127677665,0.8761280230761163
ZCL,0.8197982151831681,0.34681652181431893,0.7741541602370388,0.821551680313129,1.0,0.8825427314991027,0.9323697482067749,0.9153279045793684,0.7750891657446259,0.9126568042048442,0.923565511415123,0.9232925616841742,0.9075815223270677
UBQ,0.8312893534921685,0.2646280996195562,0.860702111484607,0.8782361575084154,0.8825427314991027,1.0,0.9374398344538667,0.9224276738859651,0.7715768051176273,0.9297944905340222,0.9329856104472275,0.8938702305940907,0.9202741126220648
EXP,0.8884830680974134,0.26356683998770647,0.8597941116080421,0.8672658079540083,0.9323697482067749,0.9374398344538667,1.0,0.9578145128447949,0.778912473947243,0.9403453014978876,0.9704097153527647,0.9359997925895268,0.9481824867365756
ETC,0.9113085421752809,0.1696039752399032,0.861419079601506,0.8745296362214812,0.9153279045793684,0.9224276738859651,0.9578145128447949,1.0,0.6992439555938216,0.9408481623665486,0.9665396521069354,0.922656827093079,0.9369151825614184
XMR,0.5931801938277299,0.5171279376455409,0.5772118308495546,0.6426757776266613,0.7750891657446259,0.7715768051176273,0.778912473947243,0.6992439555938216,1.0,0.742854721501339,0.7603451081949912,0.7748157739206166,0.7485271019358768
BTX,0.8637873748965533,0.20635606193298528,0.8383131343230856,0.8922662129591098,0.9126568042048442,0.9297944905340222,0.9403453014978876,0.9408481623665486,0.742854721501339,1.0,0.9501574172457903,0.9237757568876958,0.9333467077855174
ETH,0.8825264207608187,0.2518257923135204,0.8169506669534193,0.8533431867666609,0.923565511415123,0.9329856104472275,0.9704097153527647,0.9665396521069354,0.7603451081949912,0.9501574172457903,1.0,0.9260400064393938,0.9479273787586616
BTG,0.8313331071007909,0.33066314213450276,0.8045624432563315,0.8503158127677665,0.9232925616841742,0.8938702305940907,0.9359997925895268,0.922656827093079,0.7748157739206166,0.9237757568876958,0.9260400064393938,1.0,0.9238027414729384
ZEC,0.8569195015530694,0.2852943465286313,0.8203675328443685,0.8761280230761163,0.9075815223270677,0.9202741126220648,0.9481824867365756,0.9369151825614184,0.7485271019358768,0.9333467077855174,0.9479273787586616,0.9238027414729384,1.0
