,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.034867375020954584,0.8480512878910196,0.8290209750481478,0.8197982151831674,0.8312893534921675,0.8884830680974138,0.9113085421752809,0.5931801938277298,0.8637873748965529,0.8825264207608188,0.8313331071007909,0.85691950155307
FCN,0.034867375020954584,1.0,0.03348992588238091,0.12736243625292756,0.34681652181431855,0.26462809961955536,0.26356683998770636,0.1696039752399029,0.5171279376455402,0.20635606193298542,0.2518257923135201,0.3306631421345025,0.2852943465286315
BCN,0.8480512878910196,0.03348992588238091,1.0,0.880895776582887,0.7741541602370385,0.860702111484607,0.8597941116080414,0.8614190796015062,0.5772118308495545,0.838313134323085,0.8169506669534186,0.8045624432563322,0.8203675328443693
GRS,0.8290209750481478,0.12736243625292756,0.880895776582887,1.0,0.821551680313129,0.8782361575084138,0.8672658079540086,0.8745296362214805,0.6426757776266611,0.8922662129591087,0.8533431867666611,0.8503158127677652,0.876128023076117
ZCL,0.8197982151831674,0.34681652181431855,0.7741541602370385,0.821551680313129,1.0,0.8825427314991018,0.9323697482067745,0.9153279045793685,0.7750891657446254,0.9126568042048427,0.9235655114151222,0.923292561684173,0.9075815223270672
UBQ,0.8312893534921675,0.26462809961955536,0.860702111484607,0.8782361575084138,0.8825427314991018,1.0,0.9374398344538647,0.9224276738859648,0.7715768051176266,0.9297944905340211,0.9329856104472267,0.89387023059409,0.9202741126220644
EXP,0.8884830680974138,0.26356683998770636,0.8597941116080414,0.8672658079540086,0.9323697482067745,0.9374398344538647,1.0,0.9578145128447947,0.778912473947243,0.9403453014978886,0.9704097153527641,0.9359997925895261,0.948182486736576
ETC,0.9113085421752809,0.1696039752399029,0.8614190796015062,0.8745296362214805,0.9153279045793685,0.9224276738859648,0.9578145128447947,1.0,0.6992439555938211,0.9408481623665479,0.9665396521069354,0.9226568270930786,0.9369151825614177
XMR,0.5931801938277298,0.5171279376455402,0.5772118308495545,0.6426757776266611,0.7750891657446254,0.7715768051176266,0.778912473947243,0.6992439555938211,1.0,0.7428547215013389,0.7603451081949908,0.7748157739206161,0.7485271019358765
BTX,0.8637873748965529,0.20635606193298542,0.838313134323085,0.8922662129591087,0.9126568042048427,0.9297944905340211,0.9403453014978886,0.9408481623665479,0.7428547215013389,1.0,0.9501574172457897,0.9237757568876945,0.9333467077855165
ETH,0.8825264207608188,0.2518257923135201,0.8169506669534186,0.8533431867666611,0.9235655114151222,0.9329856104472267,0.9704097153527641,0.9665396521069354,0.7603451081949908,0.9501574172457897,1.0,0.926040006439393,0.9479273787586616
BTG,0.8313331071007909,0.3306631421345025,0.8045624432563322,0.8503158127677652,0.923292561684173,0.89387023059409,0.9359997925895261,0.9226568270930786,0.7748157739206161,0.9237757568876945,0.926040006439393,1.0,0.9238027414729385
ZEC,0.85691950155307,0.2852943465286315,0.8203675328443693,0.876128023076117,0.9075815223270672,0.9202741126220644,0.948182486736576,0.9369151825614177,0.7485271019358765,0.9333467077855165,0.9479273787586616,0.9238027414729385,1.0
