,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.0348673750209547,0.8480512878910199,0.8290209750481476,0.819798215183167,0.8312893534921673,0.8884830680974125,0.9113085421752811,0.5931801938277294,0.8637873748965521,0.8825264207608179,0.8313331071007902,0.8569195015530694
FCN,0.0348673750209547,1.0,0.033489925882381213,0.12736243625292756,0.34681652181431843,0.2646280996195559,0.2635668399877065,0.16960397523990306,0.5171279376455398,0.20635606193298525,0.2518257923135201,0.3306631421345026,0.2852943465286317
BCN,0.8480512878910199,0.033489925882381213,1.0,0.880895776582887,0.7741541602370382,0.8607021114846068,0.8597941116080422,0.8614190796015051,0.5772118308495543,0.8383131343230859,0.8169506669534183,0.8045624432563321,0.8203675328443681
GRS,0.8290209750481476,0.12736243625292756,0.880895776582887,1.0,0.8215516803131284,0.8782361575084144,0.8672658079540082,0.8745296362214804,0.6426757776266608,0.8922662129591097,0.8533431867666598,0.8503158127677658,0.8761280230761164
ZCL,0.819798215183167,0.34681652181431843,0.7741541602370382,0.8215516803131284,1.0,0.882542731499101,0.9323697482067738,0.9153279045793675,0.7750891657446247,0.9126568042048427,0.9235655114151217,0.9232925616841723,0.9075815223270663
UBQ,0.8312893534921673,0.2646280996195559,0.8607021114846068,0.8782361575084144,0.882542731499101,1.0,0.9374398344538656,0.922427673885965,0.7715768051176264,0.929794490534022,0.9329856104472266,0.8938702305940901,0.9202741126220637
EXP,0.8884830680974125,0.2635668399877065,0.8597941116080422,0.8672658079540082,0.9323697482067738,0.9374398344538656,1.0,0.9578145128447951,0.778912473947243,0.9403453014978891,0.9704097153527643,0.9359997925895264,0.9481824867365748
ETC,0.9113085421752811,0.16960397523990306,0.8614190796015051,0.8745296362214804,0.9153279045793675,0.922427673885965,0.9578145128447951,1.0,0.6992439555938202,0.9408481623665484,0.9665396521069347,0.9226568270930785,0.9369151825614184
XMR,0.5931801938277294,0.5171279376455398,0.5772118308495543,0.6426757776266608,0.7750891657446247,0.7715768051176264,0.778912473947243,0.6992439555938202,1.0,0.7428547215013386,0.7603451081949901,0.7748157739206161,0.7485271019358758
BTX,0.8637873748965521,0.20635606193298525,0.8383131343230859,0.8922662129591097,0.9126568042048427,0.929794490534022,0.9403453014978891,0.9408481623665484,0.7428547215013386,1.0,0.9501574172457905,0.9237757568876961,0.9333467077855178
ETH,0.8825264207608179,0.2518257923135201,0.8169506669534183,0.8533431867666598,0.9235655114151217,0.9329856104472266,0.9704097153527643,0.9665396521069347,0.7603451081949901,0.9501574172457905,1.0,0.9260400064393932,0.9479273787586614
BTG,0.8313331071007902,0.3306631421345026,0.8045624432563321,0.8503158127677658,0.9232925616841723,0.8938702305940901,0.9359997925895264,0.9226568270930785,0.7748157739206161,0.9237757568876961,0.9260400064393932,1.0,0.9238027414729387
ZEC,0.8569195015530694,0.2852943465286317,0.8203675328443681,0.8761280230761164,0.9075815223270663,0.9202741126220637,0.9481824867365748,0.9369151825614184,0.7485271019358758,0.9333467077855178,0.9479273787586614,0.9238027414729387,1.0
