,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.03486737502095477,0.8480512878910192,0.8290209750481479,0.8197982151831671,0.8312893534921683,0.8884830680974133,0.9113085421752813,0.5931801938277296,0.8637873748965528,0.8825264207608186,0.8313331071007911,0.8569195015530697
FCN,0.03486737502095477,1.0,0.03348992588238078,0.12736243625292729,0.34681652181431905,0.2646280996195559,0.2635668399877067,0.16960397523990298,0.5171279376455402,0.20635606193298525,0.2518257923135201,0.33066314213450265,0.2852943465286312
BCN,0.8480512878910192,0.03348992588238078,1.0,0.8808957765828868,0.7741541602370378,0.8607021114846067,0.8597941116080412,0.861419079601507,0.5772118308495546,0.8383131343230847,0.8169506669534184,0.804562443256332,0.820367532844369
GRS,0.8290209750481479,0.12736243625292729,0.8808957765828868,1.0,0.8215516803131275,0.878236157508415,0.8672658079540083,0.8745296362214806,0.6426757776266608,0.8922662129591092,0.8533431867666602,0.8503158127677656,0.8761280230761167
ZCL,0.8197982151831671,0.34681652181431905,0.7741541602370378,0.8215516803131275,1.0,0.8825427314991017,0.9323697482067749,0.9153279045793677,0.7750891657446248,0.912656804204843,0.9235655114151217,0.9232925616841724,0.9075815223270667
UBQ,0.8312893534921683,0.2646280996195559,0.8607021114846067,0.878236157508415,0.8825427314991017,1.0,0.9374398344538659,0.922427673885965,0.7715768051176263,0.9297944905340217,0.9329856104472266,0.8938702305940904,0.9202741126220652
EXP,0.8884830680974133,0.2635668399877067,0.8597941116080412,0.8672658079540083,0.9323697482067749,0.9374398344538659,1.0,0.9578145128447944,0.7789124739472426,0.9403453014978893,0.9704097153527644,0.9359997925895259,0.9481824867365753
ETC,0.9113085421752813,0.16960397523990298,0.861419079601507,0.8745296362214806,0.9153279045793677,0.922427673885965,0.9578145128447944,1.0,0.6992439555938199,0.9408481623665481,0.9665396521069347,0.9226568270930793,0.9369151825614183
XMR,0.5931801938277296,0.5171279376455402,0.5772118308495546,0.6426757776266608,0.7750891657446248,0.7715768051176263,0.7789124739472426,0.6992439555938199,1.0,0.7428547215013389,0.7603451081949907,0.774815773920616,0.7485271019358767
BTX,0.8637873748965528,0.20635606193298525,0.8383131343230847,0.8922662129591092,0.912656804204843,0.9297944905340217,0.9403453014978893,0.9408481623665481,0.7428547215013389,1.0,0.9501574172457896,0.9237757568876953,0.9333467077855174
ETH,0.8825264207608186,0.2518257923135201,0.8169506669534184,0.8533431867666602,0.9235655114151217,0.9329856104472266,0.9704097153527644,0.9665396521069347,0.7603451081949907,0.9501574172457896,1.0,0.9260400064393933,0.9479273787586624
BTG,0.8313331071007911,0.33066314213450265,0.804562443256332,0.8503158127677656,0.9232925616841724,0.8938702305940904,0.9359997925895259,0.9226568270930793,0.774815773920616,0.9237757568876953,0.9260400064393933,1.0,0.9238027414729382
ZEC,0.8569195015530697,0.2852943465286312,0.820367532844369,0.8761280230761167,0.9075815223270667,0.9202741126220652,0.9481824867365753,0.9369151825614183,0.7485271019358767,0.9333467077855174,0.9479273787586624,0.9238027414729382,1.0
