,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,BTX,ETH,BTG,ZEC
QCN,1.0,0.03486737502095468,0.848051287891019,0.8290209750481474,0.8197982151831676,0.8312893534921677,0.8884830680974131,0.9113085421752803,0.5931801938277289,0.8637873748965532,0.8825264207608186,0.8313331071007907,0.85691950155307
FCN,0.03486737502095468,1.0,0.033489925882380714,0.12736243625292704,0.34681652181431866,0.26462809961955586,0.263566839987706,0.16960397523990303,0.5171279376455402,0.2063560619329853,0.2518257923135202,0.33066314213450226,0.2852943465286318
BCN,0.848051287891019,0.033489925882380714,1.0,0.8808957765828868,0.7741541602370389,0.860702111484607,0.8597941116080416,0.861419079601506,0.5772118308495542,0.8383131343230852,0.8169506669534188,0.8045624432563323,0.8203675328443684
GRS,0.8290209750481474,0.12736243625292704,0.8808957765828868,1.0,0.8215516803131288,0.8782361575084141,0.8672658079540078,0.8745296362214805,0.6426757776266605,0.8922662129591089,0.8533431867666603,0.850315812767765,0.8761280230761163
ZCL,0.8197982151831676,0.34681652181431866,0.7741541602370389,0.8215516803131288,1.0,0.8825427314991023,0.9323697482067749,0.9153279045793682,0.7750891657446257,0.9126568042048425,0.9235655114151233,0.9232925616841742,0.9075815223270677
UBQ,0.8312893534921677,0.26462809961955586,0.860702111484607,0.8782361575084141,0.8825427314991023,1.0,0.9374398344538669,0.9224276738859651,0.7715768051176265,0.9297944905340222,0.9329856104472275,0.8938702305940903,0.9202741126220647
EXP,0.8884830680974131,0.263566839987706,0.8597941116080416,0.8672658079540078,0.9323697482067749,0.9374398344538669,1.0,0.9578145128447949,0.7789124739472421,0.9403453014978888,0.9704097153527645,0.9359997925895268,0.9481824867365759
ETC,0.9113085421752803,0.16960397523990303,0.861419079601506,0.8745296362214805,0.9153279045793682,0.9224276738859651,0.9578145128447949,1.0,0.6992439555938204,0.940848162366548,0.9665396521069348,0.9226568270930775,0.9369151825614187
XMR,0.5931801938277289,0.5171279376455402,0.5772118308495542,0.6426757776266605,0.7750891657446257,0.7715768051176265,0.7789124739472421,0.6992439555938204,1.0,0.7428547215013379,0.76034510819499,0.7748157739206156,0.7485271019358759
BTX,0.8637873748965532,0.2063560619329853,0.8383131343230852,0.8922662129591089,0.9126568042048425,0.9297944905340222,0.9403453014978888,0.940848162366548,0.7428547215013379,1.0,0.9501574172457895,0.9237757568876955,0.9333467077855179
ETH,0.8825264207608186,0.2518257923135202,0.8169506669534188,0.8533431867666603,0.9235655114151233,0.9329856104472275,0.9704097153527645,0.9665396521069348,0.76034510819499,0.9501574172457895,1.0,0.926040006439393,0.9479273787586615
BTG,0.8313331071007907,0.33066314213450226,0.8045624432563323,0.850315812767765,0.9232925616841742,0.8938702305940903,0.9359997925895268,0.9226568270930775,0.7748157739206156,0.9237757568876955,0.926040006439393,1.0,0.9238027414729384
ZEC,0.85691950155307,0.2852943465286318,0.8203675328443684,0.8761280230761163,0.9075815223270677,0.9202741126220647,0.9481824867365759,0.9369151825614187,0.7485271019358759,0.9333467077855179,0.9479273787586615,0.9238027414729384,1.0
