,GTX_1060,AMD_VEGA_64,GTX_1070,AMD_380,GTX_1080_TI,AMD_470,AMD_580,AMD_VEGA_56,AMD_FURY,GTX_750_TI,AMD_570,GTX_1080,AMD_280X,AMD_480,GTX_1050_TI,GTX_1070_TI
GTX_1060,1.0,0.9931175484966956,0.9944507250629688,0.9917611289921684,0.966963537087177,0.9913161834416401,0.9887590831832476,0.9915686879549256,0.9798933584161497,0.7701683441032859,0.9864659579598697,0.9448911325606543,0.9257048166830506,0.9906979890519535,0.9990035373703691,0.9898262194487435
AMD_VEGA_64,0.9931175484966956,1.0,0.9836414196578736,0.9916472442634283,0.9510768042928558,0.9908684040541984,0.9895691293385978,0.9987187075778523,0.9699243656451156,0.7489495347928786,0.9880391994146424,0.9267512922121575,0.9104485595292676,0.9910804563121908,0.991198451696754,0.977868511390592
GTX_1070,0.9944507250629688,0.9836414196578736,1.0,0.975130802503941,0.9879538477301298,0.9739359142562996,0.969455702889511,0.9850228014834738,0.9869923058083635,0.8239124688708169,0.9657828189265245,0.9726619416977714,0.9539324374505578,0.9726914490118314,0.9975227875007537,0.9991636352566446
AMD_380,0.9917611289921684,0.9916472442634283,0.975130802503941,1.0,0.9331798592511871,0.9993368019860122,0.9990551825506064,0.9881095151454574,0.9664478983442961,0.714785771209559,0.9979484424250643,0.9058009909485704,0.893441408948241,0.9991710548974063,0.9871377947305465,0.967307207207122
GTX_1080_TI,0.966963537087177,0.9510768042928558,0.9879538477301298,0.9331798592511871,1.0,0.9305322420127863,0.9233646683583706,0.9567964422843436,0.9796274587352979,0.89454362298558,0.9175872854205491,0.9962266847713763,0.9809774503653851,0.928334072666721,0.9760870063706648,0.993029145940465
AMD_470,0.9913161834416401,0.9908684040541984,0.9739359142562996,0.9993368019860122,0.9305322420127863,1.0,0.999678741675184,0.987112081773789,0.963850033821746,0.7053294537851711,0.9990940359946257,0.902220915245448,0.8871420494522182,0.9998967976752369,0.9859350591782606,0.9656215338972589
AMD_580,0.9887590831832476,0.9895691293385978,0.969455702889511,0.9990551825506064,0.9233646683583706,0.999678741675184,1.0,0.9849269917100822,0.9578758462366396,0.691941671651834,0.9997718040214154,0.8935234066047696,0.8779402498941262,0.9998554275324031,0.9825728283972427,0.9603819395330457
AMD_VEGA_56,0.9915686879549256,0.9987187075778523,0.9850228014834738,0.9881095151454574,0.9567964422843436,0.987112081773789,0.9849269917100822,1.0,0.9767355019970207,0.7689410693281469,0.9828020595417167,0.9355169842899972,0.9228478805911726,0.986876955664609,0.991095336870133,0.9806164532467364
AMD_FURY,0.9798933584161497,0.9699243656451156,0.9869923058083635,0.9664478983442961,0.9796274587352979,0.963850033821746,0.9578758462366396,0.9767355019970207,1.0,0.8527350396500624,0.952728326389763,0.971928454237619,0.9731247621432683,0.9610479635672913,0.9855283779888442,0.988927826961778
GTX_750_TI,0.7701683441032859,0.7489495347928786,0.8239124688708169,0.714785771209559,0.89454362298558,0.7053294537851711,0.691941671651834,0.7689410693281469,0.8527350396500624,1.0,0.6798696252458362,0.9266928286469407,0.946777567362825,0.6999408292027552,0.7956151243684991,0.8443622766168609
AMD_570,0.9864659579598697,0.9880391994146424,0.9657828189265245,0.9979484424250643,0.9175872854205491,0.9990940359946257,0.9997718040214154,0.9828020595417167,0.952728326389763,0.6798696252458362,1.0,0.8864839477129391,0.8694828341115937,0.9994647118971535,0.9795223001192652,0.9560768891170116
GTX_1080,0.9448911325606543,0.9267512922121575,0.9726619416977714,0.9058009909485704,0.9962266847713763,0.902220915245448,0.8935234066047696,0.9355169842899972,0.971928454237619,0.9266928286469407,0.8864839477129391,1.0,0.9905091184135949,0.8992847771356829,0.957299352530461,0.9810069837971409
AMD_280X,0.9257048166830506,0.9104485595292676,0.9539324374505578,0.893441408948241,0.9809774503653851,0.8871420494522182,0.8779402498941262,0.9228478805911726,0.9731247621432683,0.946777567362825,0.8694828341115937,0.9905091184135949,1.0,0.8832627727524024,0.9403795051812439,0.9643025140704983
AMD_480,0.9906979890519535,0.9910804563121908,0.9726914490118314,0.9991710548974063,0.928334072666721,0.9998967976752369,0.9998554275324031,0.986876955664609,0.9610479635672913,0.6999408292027552,0.9994647118971535,0.8992847771356829,0.8832627727524024,1.0,0.984996303393884,0.9640528100162827
GTX_1050_TI,0.9990035373703691,0.991198451696754,0.9975227875007537,0.9871377947305465,0.9760870063706648,0.9859350591782606,0.9825728283972427,0.991095336870133,0.9855283779888442,0.7956151243684991,0.9795223001192652,0.957299352530461,0.9403795051812439,0.984996303393884,1.0,0.9945921613960279
GTX_1070_TI,0.9898262194487435,0.977868511390592,0.9991636352566446,0.967307207207122,0.993029145940465,0.9656215338972589,0.9603819395330457,0.9806164532467364,0.988927826961778,0.8443622766168609,0.9560768891170116,0.9810069837971409,0.9643025140704983,0.9640528100162827,0.9945921613960279,1.0
