,GTX_750_TI,GTX_1050_TI,GTX_1060,GTX_1070,GTX_1070_TI,GTX_1080,GTX_1080_TI,AMD_280X,AMD_380,AMD_FURY,AMD_470,AMD_480,AMD_570,AMD_580,AMD_VEGA_56,AMD_VEGA_64
GTX_750_TI,1.0,1.0000000000000007,1.0000000000000002,0.9999999999999996,1.0000000000000004,0.9999999999999993,1.0000000000000002,0.9999999999999986,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999986,1.0000000000000002,0.9999999999999986,0.9999999999999997,1.0000000000000009
GTX_1050_TI,1.0000000000000007,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000016,1.0000000000000009,1.0000000000000002,1.0,1.0,1.0000000000000004,1.000000000000001,1.0,1.000000000000001,1.0,0.9999999999999993,1.000000000000001
GTX_1060,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000007,1.0000000000000004,0.9999999999999996,1.0000000000000002,0.9999999999999996,1.000000000000001,1.0000000000000007,0.9999999999999996,0.9999999999999993,0.9999999999999996,0.9999999999999993,1.0000000000000002,1.0
GTX_1070,0.9999999999999996,1.0000000000000002,1.0000000000000007,1.0,1.0000000000000007,0.9999999999999997,1.0000000000000007,0.9999999999999993,0.9999999999999996,1.0000000000000004,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999996,0.9999999999999998
GTX_1070_TI,1.0000000000000004,1.0000000000000016,1.0000000000000004,1.0000000000000007,1.0,1.0000000000000007,1.0000000000000009,1.0000000000000004,1.0000000000000007,0.9999999999999996,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999998,1.0000000000000007
GTX_1080,0.9999999999999993,1.0000000000000009,0.9999999999999996,0.9999999999999997,1.0000000000000007,1.0,0.9999999999999998,1.0,0.9999999999999997,0.9999999999999997,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999997,0.9999999999999991
GTX_1080_TI,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000007,1.0000000000000009,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999996,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000004
AMD_280X,0.9999999999999986,1.0,0.9999999999999996,0.9999999999999993,1.0000000000000004,1.0,1.0000000000000002,1.0,1.000000000000001,0.9999999999999996,0.9999999999999992,1.0000000000000002,0.9999999999999992,1.0000000000000002,1.0000000000000013,1.0000000000000002
AMD_380,1.0000000000000002,1.0,1.000000000000001,0.9999999999999996,1.0000000000000007,0.9999999999999997,0.9999999999999996,1.000000000000001,1.0,0.9999999999999997,0.9999999999999994,1.0000000000000007,0.9999999999999994,1.0000000000000007,0.9999999999999984,0.9999999999999999
AMD_FURY,1.0000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,0.9999999999999996,0.9999999999999997,0.9999999999999998,0.9999999999999996,0.9999999999999997,1.0,0.9999999999999994,0.9999999999999999,0.9999999999999994,0.9999999999999999,0.9999999999999998,0.9999999999999996
AMD_470,1.0000000000000002,1.000000000000001,0.9999999999999996,0.9999999999999994,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999994,1.0,0.9999999999999994,1.0,0.9999999999999994,0.9999999999999998,1.0000000000000004
AMD_480,0.9999999999999986,1.0,0.9999999999999993,0.9999999999999994,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000007,0.9999999999999999,0.9999999999999994,1.0,0.9999999999999994,1.0,1.000000000000001,1.0000000000000002
AMD_570,1.0000000000000002,1.000000000000001,0.9999999999999996,0.9999999999999994,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999994,1.0,0.9999999999999994,1.0,0.9999999999999994,0.9999999999999998,1.0000000000000004
AMD_580,0.9999999999999986,1.0,0.9999999999999993,0.9999999999999994,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000007,0.9999999999999999,0.9999999999999994,1.0,0.9999999999999994,1.0,1.000000000000001,1.0000000000000002
AMD_VEGA_56,0.9999999999999997,0.9999999999999993,1.0000000000000002,0.9999999999999996,0.9999999999999998,0.9999999999999997,1.0000000000000002,1.0000000000000013,0.9999999999999984,0.9999999999999998,0.9999999999999998,1.000000000000001,0.9999999999999998,1.000000000000001,1.0,1.000000000000001
AMD_VEGA_64,1.0000000000000009,1.000000000000001,1.0,0.9999999999999998,1.0000000000000007,0.9999999999999991,1.0000000000000004,1.0000000000000002,0.9999999999999999,0.9999999999999996,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.000000000000001,1.0
