,GTX_1050_TI,GTX_1060,GTX_1070,GTX_1070_TI,GTX_1080,GTX_1080_TI,AMD_380,AMD_FURY,AMD_470,AMD_480,AMD_570,AMD_580,AMD_VEGA_56,AMD_VEGA_64
GTX_1050_TI,1.0,1.0000000000000004,0.9999999999999998,1.0,1.0,0.9999999999999993,0.9999999999999996,1.0,1.0000000000000002,1.0,0.9999999999999997,1.0000000000000002,0.9999999999999998,0.9999999999999997
GTX_1060,1.0000000000000004,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,0.9999999999999994,1.0000000000000004,1.0000000000000007,0.9999999999999997,0.9999999999999998,0.9999999999999998,0.9999999999999996,0.9999999999999993
GTX_1070,0.9999999999999998,0.9999999999999998,1.0,1.0,0.9999999999999994,1.0000000000000002,0.9999999999999997,0.9999999999999999,0.9999999999999997,0.9999999999999999,1.0000000000000004,1.0,0.9999999999999998,0.9999999999999998
GTX_1070_TI,1.0,1.0,1.0,1.0,0.9999999999999994,1.0000000000000004,0.9999999999999998,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0
GTX_1080,1.0,1.0,0.9999999999999994,0.9999999999999994,1.0,1.0000000000000002,0.999999999999999,0.9999999999999998,1.0000000000000004,0.9999999999999992,1.0000000000000002,0.9999999999999999,1.0000000000000007,1.0000000000000004
GTX_1080_TI,0.9999999999999993,0.9999999999999998,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999994,1.0000000000000004,0.9999999999999994,1.0000000000000002,0.9999999999999997,0.9999999999999993,0.9999999999999993
AMD_380,0.9999999999999996,0.9999999999999994,0.9999999999999997,0.9999999999999998,0.999999999999999,0.9999999999999999,1.0,0.9999999999999997,0.9999999999999997,0.9999999999999996,1.0000000000000002,0.9999999999999997,0.9999999999999994,0.9999999999999992
AMD_FURY,1.0,1.0000000000000004,0.9999999999999999,1.0000000000000002,0.9999999999999998,0.9999999999999994,0.9999999999999997,1.0,0.9999999999999993,1.0000000000000004,0.9999999999999992,1.0000000000000007,0.9999999999999993,0.9999999999999993
AMD_470,1.0000000000000002,1.0000000000000007,0.9999999999999997,0.9999999999999999,1.0000000000000004,1.0000000000000004,0.9999999999999997,0.9999999999999993,1.0,1.0,1.0000000000000007,1.0000000000000004,1.0,1.0000000000000002
AMD_480,1.0,0.9999999999999997,0.9999999999999999,1.0,0.9999999999999992,0.9999999999999994,0.9999999999999996,1.0000000000000004,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999
AMD_570,0.9999999999999997,0.9999999999999998,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999992,1.0000000000000007,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999997,0.9999999999999993
AMD_580,1.0000000000000002,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999997,0.9999999999999997,1.0000000000000007,1.0000000000000004,1.0,0.9999999999999998,1.0,1.0000000000000004,1.0000000000000002
AMD_VEGA_56,0.9999999999999998,0.9999999999999996,0.9999999999999998,1.0,1.0000000000000007,0.9999999999999993,0.9999999999999994,0.9999999999999993,1.0,0.9999999999999999,0.9999999999999997,1.0000000000000004,1.0,0.9999999999999999
AMD_VEGA_64,0.9999999999999997,0.9999999999999993,0.9999999999999998,1.0,1.0000000000000004,0.9999999999999993,0.9999999999999992,0.9999999999999993,1.0000000000000002,0.9999999999999999,0.9999999999999993,1.0000000000000002,0.9999999999999999,1.0
